target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",0.2512510072633095,29.799675079,150,10,140,93.33333333333333,10000.638223,10002.468642,10005.674261,10005.696274
"10",0,29.898899431,300,0,300,100,10000.525561,10001.144873,10001.29983,10001.915277
"25",0,29.960682592,750,0,750,100,10000.648638,10002.364709,10006.09351,10014.397546
"50",0,29.980428278,1500,0,1500,100,10000.551933,10001.161215,10001.746381,10024.02906
"75",0,29.986403914,2250,0,2250,100,10000.591394,10001.181026,10001.836409,10005.761738
"100",0,29.990058939,3000,0,3000,100,10000.548362,10001.1212,10001.270791,10003.393404
"150",0,29.993622892,4500,0,4500,100,10000.564922,10001.164733,10001.545603,10006.551157
"200",0,29.995340956,6000,0,6000,100,10000.549071,10001.139686,10001.42191,10020.797184
"300",0,29.995939365,9000,0,9000,100,10000.585788,10001.2787,10002.527398,10014.105055
"400",0,30.533692597,11832,0,11832,100,10000.91121,10768.415715,11439.644586,13171.343217
