target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",0.9547660676365389,29.799973927,150,38,112,74.66666666666666,10000.485934,10001.251083,10001.940023,10001.976233
"10",0.27568443692017197,29.900344434,300,11,289,96.33333333333334,10000.597476,10001.391703,10003.005537,10011.308653
"25",0.20019487330820054,29.960121462,750,8,742,98.93333333333332,10000.710758,10002.773089,10005.320541,10036.906674
"50",0.2501175417445256,29.980307289,1500,10,1490,99.33333333333333,10000.718037,10002.286239,10003.67346,10009.013079
"75",0.2250775012060833,29.985767549,2250,9,2241,99.6,10000.661548,10001.921537,10003.686864,10012.002023
"100",0.20004491295860485,29.989777306,3000,8,2992,99.73333333333333,10000.720576,10002.791835,10005.405251,10027.504681
"150",0.15002056681832351,29.993392574,4500,6,4494,99.86666666666667,10000.730247,10002.3064,10005.475727,10027.847494
"200",0.12500928547095852,29.994133271,6000,5,5995,99.91666666666667,10000.709656,10002.750231,10006.844609,10056.656056
"300",0.1750066602153423,29.997765883,9000,7,8993,99.92222222222222,10000.860801,10007.386558,10029.549955,10122.278846
"400",0.10000579633845591,29.997182586,12000,4,11996,99.96666666666667,10000.853417,10004.829253,10029.940827,10149.616498
