target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",0.6783881235993806,29.799484376,150,27,123,82,10000.387846,10001.188354,10001.297676,10003.885685
"10",0.5262036139807186,29.906057775,300,21,279,93,10000.574256,10001.796383,10004.380062,10009.087423
"25",0.3003052967160986,29.958807961,750,12,738,98.4,10000.569321,10001.230756,10001.540892,10003.215524
"50",0.3001407815137943,29.980613694,1500,12,1488,99.2,10000.556994,10001.209221,10001.678331,10003.977002
"75",0.3001003876610379,29.986103855,2250,12,2238,99.46666666666667,10000.551591,10001.253222,10002.33662,10015.095648
"100",0.27506706867500363,29.989880809,3000,11,2989,99.63333333333333,10000.558382,10001.196025,10001.753324,10008.606485
"150",0.40005497311406996,29.993941997,4500,16,4484,99.64444444444445,10000.561365,10001.214872,10002.202215,10008.819077
"200",0.2500254020057854,29.995540896,6000,10,5990,99.83333333333333,10000.539134,10001.237473,10002.738856,10011.830776
"300",0.3750224721528297,29.996545626,9000,15,8985,99.83333333333333,10000.580273,10001.418912,10003.448352,10016.144761
"400",0.22501124591581356,29.99714658,12000,9,11991,99.925,10000.66783,10002.239983,10005.117596,10018.235353
