target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",0.4522486593761778,29.799895375,150,18,132,88,10000.424087,10001.190894,10001.467339,10001.510526
"10",0.2506172518395857,29.900722014,300,10,290,96.66666666666667,10000.52319,10001.156177,10001.252829,10001.45438
"25",0.30029185109760104,29.96049967,750,12,738,98.4,10000.521394,10001.191908,10001.329718,10001.451998
"50",0.2501223347588939,29.979892633,1500,10,1490,99.33333333333333,10000.561694,10001.186172,10001.291485,10001.443963
"75",0.22507156685575827,29.986154146,2250,9,2241,99.6,10000.551975,10001.172599,10001.30841,10005.659416
"100",0.2750603691977256,29.990739226,3000,11,2989,99.63333333333333,10000.530592,10001.1494,10001.284912,10003.12303
"150",0.25003958937453163,29.992975011,4500,10,4490,99.77777777777777,10000.546831,10001.341272,10003.074458,10011.113618
"200",0.275034044958614,29.994535645,6000,11,5989,99.81666666666666,10000.515397,10001.113999,10001.254762,10005.071333
"300",0.20001313294231424,29.996606547,9000,8,8992,99.91111111111111,10000.532298,10001.107699,10001.240873,10004.748349
"400",0.22500977122932345,29.997511839,12000,9,11991,99.925,10000.549699,10001.169331,10001.901796,10008.534506
